  Rk, Player,Nation,Pos,Squad,Age,Born,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Matches
355,Manuel HÃ¤rtel,de GER,FW,Energie Cottbus,15,2001,2,1,118,1.3,2,,,0,2,2,1,0,1.53,,,0,,Matches
356,Manuel HÃ¤rtel,de GER,FW,Augsburg,15,2001,3,3,233,2.6,1,,,1,0,0,1,0,0.39,,,0.39,,Matches
357,Stig Hartig,de GER,MF,EimsbÃ¼ttel U17,16,2001,6,3,229,2.5,0,,,0,0,0,0,0,0,,,0,,Matches
358,Alexander Hartmann,de GER,"MF,DF",St Pauli,16,2001,20,14,1264,14,1,,,1,0,0,2,0,0.07,,,0.07,,Matches
359,Fabrice Hartmann,de GER,FW,RB Leipzig,16,2001,23,17,1454,16.2,21,,,19,2,2,4,0,1.3,,,1.18,,Matches
360,Hans Hartmann,de GER,MF,Mainz 05,15,2002,1,0,25,0.3,0,,,0,0,0,0,0,0,,,0,,Matches
361,Luis Hartwig,de GER,FW,Bochum,14,2002,2,2,165,1.8,2,,,2,0,0,0,0,1.09,,,1.09,,Matches
362,Tom HaÃheider,de GER,"DF,MF",Arminia,16,2001,25,25,2187,24.3,2,,,2,0,0,3,0,0.08,,,0.08,,Matches
363,Ilias Hatzis,de GER,"MF,DF",Gladbach,16,2001,15,14,1267,14.1,0,,,0,0,0,2,0,0,,,0,,Matches
364,Yannik Haupts,de GER,MF,Kaiserslautern,16,2001,20,20,1571,17.5,2,,,2,0,0,2,0,0.11,,,0.11,,Matches
365,Jalen Hawkins,de GER,"FW,MF",Bayern Munich,16,2001,24,6,789,8.8,3,,,3,0,0,0,0,0.34,,,0.34,,Matches
366,Florian Haxha,xk KVX,MF,Hertha BSC,15,2002,1,1,90,1,0,,,0,0,0,0,0,0,,,0,,Matches
367,Marius Heck,de GER,"FW,MF",Schalke 04,16,2001,18,15,1284,14.3,8,,,8,0,0,2,0,0.56,,,0.56,,Matches
368,Tim Heckmeier,de GER,MF,Augsburg,16,2001,17,16,1355,15.1,5,,,2,3,3,3,0,0.33,,,0.13,,Matches
369,Tobias Heering,de GER,MF,PreuÃen MÃ¼nster,16,2001,22,20,1764,19.6,1,,,1,0,0,3,0,0.05,,,0.05,,Matches
370,Fynn Hegerfeldt,de GER,GK,Hamburger SV,16,2001,25,25,2250,25,0,,,0,0,0,3,0,0,,,0,,Matches
371,Markus Hegermann,de GER,"MF,DF",Union Berlin,16,2001,9,6,569,6.3,0,,,0,0,0,0,0,0,,,0,,Matches
372,Matthias Heiland,de GER,MF,RB Leipzig,15,2001,7,0,208,2.3,0,,,0,0,0,1,0,0,,,0,,Matches
373,Felix Heim,de GER,MF,Stuttgarter Kickers,15,2001,2,0,31,0.3,0,,,0,0,0,0,0,0,,,0,,Matches
374,Julius Heimpel,de GER,MF,Hoffenheim,16,2001,6,0,148,1.6,0,,,0,0,0,0,0,0,,,0,,Matches
375,Bryan Hein,de GER,"MF,DF",Hamburger SV,15,2001,25,23,1701,18.9,9,,,9,0,0,1,0,0.48,,,0.48,,Matches
376,Tim Heinzelmann,de GER,"FW,MF",Freiburg,16,2001,19,13,1252,13.9,3,,,3,0,0,1,0,0.22,,,0.22,,Matches
377,Florian Heise,de GER,DF,Gladbach,15,2001,15,10,945,10.5,0,,,0,0,0,0,0,0,,,0,,Matches
378,Saku Heiskanen,fi FIN,MF,Hoffenheim,15,2001,6,2,236,2.6,0,,,0,0,0,0,0,0,,,0,,Matches
379,Frederic Heitzer,de GER,MF,Alemannia Aachen,16,2001,9,8,644,7.2,1,,,1,0,0,2,0,0.14,,,0.14,,Matches
380,Neil Helbing,de GER,DF,Holstein Kiel,15,2001,18,14,1312,14.6,0,,,0,0,0,3,0,0,,,0,,Matches
381,Fabian Helfer,de GER,GK,Unterrath U17,16,2001,16,16,1390,15.4,0,,,0,0,0,1,0,0,,,0,,Matches
382,Nico Helleberg,de GER,MF,Dortmund,15,2001,1,0,31,0.3,0,,,0,0,0,0,0,0,,,0,,Matches
383,Nick Hellmann,de GER,DF,Stuttgart,16,2001,5,1,203,2.3,1,,,1,0,0,0,0,0.44,,,0.44,,Matches
384,Pamir Hemat,de GER,"MF,DF",Unterrath U17,16,2001,24,21,1964,21.8,1,,,0,1,1,2,0,0.05,,,0,,Matches
385,Tony Hempel,de GER,"DF,MF",Magdeburg,16,2001,19,19,1630,18.1,0,,,0,0,0,0,0,0,,,0,,Matches
386,Fabian Henke,de GER,MF,BTSV,15,2002,1,1,90,1,0,,,0,0,0,0,0,0,,,0,,Matches
387,Justin Henning,de GER,FW,Energie Cottbus,16,2001,2,1,67,0.7,0,,,0,0,0,0,0,0,,,0,,Matches
388,Andreas Hercog,de GER,FW,Unterhaching,16,2001,17,8,860,9.6,4,,,4,0,0,0,0,0.42,,,0.42,,Matches
389,Elmin HeriÄ,ba BIH,FW,KÃ¶ln,16,2001,26,19,1652,18.4,12,,,12,0,0,0,0,0.65,,,0.65,,Matches
390,Tim Herm,de GER,MF,Karlsruher,16,2001,15,15,1319,14.7,1,,,1,0,0,0,1,0.07,,,0.07,,Matches
391,Andres Hermanutz,de GER,FW,Freiburg,14,2002,1,0,28,0.3,0,,,0,0,0,0,0,0,,,0,,Matches
392,Jahn Herrmann,de GER,MF,Bayern Munich,16,2001,26,26,2099,23.3,12,,,5,7,7,0,0,0.51,,,0.21,,Matches
393,Maximilian Herter,de GER,DF,Energie Cottbus,14,2002,1,0,13,0.1,0,,,0,0,0,0,0,0,,,0,,Matches
394,Rilind Hetemi,xk KVX,MF,Dortmund,15,2002,21,17,1234,13.7,4,,,4,0,0,1,0,0.29,,,0.29,,Matches
395,Younes Hida,de GER,"MF,FW",Eintracht Frankfurt,16,2001,11,6,596,6.6,3,,,2,1,1,1,0,0.45,,,0.3,,Matches
396,Alex-Alexander Hildebrandt,de GER,DF,BTSV,16,2001,20,11,1086,12.1,2,,,2,0,0,1,0,0.17,,,0.17,,Matches
397,Patrick Hilgenberg,de GER,"MF,FW",PreuÃen MÃ¼nster,15,2001,8,3,243,2.7,0,,,0,0,0,0,0,0,,,0,,Matches
398,Max Hinke,de GER,GK,Eintracht Frankfurt,16,2001,24,24,2160,24,0,,,0,0,0,1,0,0,,,0,,Matches
399,Janis Hinterleitner,de GER,"DF,MF",Holstein Kiel,16,2001,20,18,1590,17.7,2,,,2,0,0,4,0,0.11,,,0.11,,Matches
