Player,Nation_std,Pos_std,Squad_std,Born_std,Playing Time_MP_std,Playing Time_Starts,Playing Time_Min_std,Playing Time_90s_std,Performance_Gls,Performance_G-PK,Performance_PK,Performance_PKatt,Per 90 Minutes_Gls,Per 90 Minutes_G-PK,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s_match,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off
Joaquin Fazal,de GER,MF,Energie Cottbus,2006,12,7,650,7.2,0,0,0,0,0.00,0.00,54,27.8,7.2,7,80,5,5,19,1,1.50,7,16,-9,-1.25,-1.09
Joaquin Fazal,de GER,MF,Energie Cottbus,2006,12,7,650,7.2,0,0,0,0,0.00,0.00,83,84.3,10.1,11,83,8,0,,0,0.91,16,32,-16,-1.58,-2.64
Joaquin Fazal,de GER,MF,Rot-Weiß Walldorf,2006,11,11,910,10.1,2,2,0,0,0.20,0.20,54,27.8,7.2,7,80,5,5,19,1,1.50,7,16,-9,-1.25,-1.09
Joaquin Fazal,de GER,MF,Rot-Weiß Walldorf,2006,11,11,910,10.1,2,2,0,0,0.20,0.20,83,84.3,10.1,11,83,8,0,,0,0.91,16,32,-16,-1.58,-2.64
Jonas Feddersen,de GER,MF,Dortmund,2007,15,14,1220,13.6,4,4,0,0,0.30,0.30,81,56.5,13.6,14,84,12,1,45,0,2.33,42,11,+31,+2.29,+0.56
Ole Fehring,de GER,DF,Osnabrück,2007,16,6,626,7.0,1,1,0,0,0.14,0.14,39,26.8,7.0,6,67,0,10,22,0,1.06,9,8,+1,+0.14,+1.19
Gian-Luca Feißt,de GER,DF,Freiburg,2006,4,1,111,1.2,0,0,0,0,0.00,0.00,28,4.7,1.2,1,45,0,3,22,1,1.50,0,2,-2,-1.62,-2.31
Veron Fejzullahi,xk KVX,FW,Jahn Regensburg,2006,15,7,807,9.0,0,0,0,0,0.00,0.00,54,34.5,9.0,7,77,4,8,34,2,0.20,9,27,-18,-2.01,-0.89
Mohamed Felder,de GER,MF,Wehen Wiesbaden,2008,1,0,31,0.3,0,0,0,0,0.00,0.00,31,1.2,0.3,0,,0,1,31,0,0.00,0,0,0,0.00,+0.40
Josef Fenzl,de GER,MF,Jahn Regensburg,2006,1,0,12,0.1,0,0,0,0,0.00,0.00,12,0.5,0.1,0,,0,1,12,1,0.00,0,0,0,0.00,+1.43
Larson Ferati,xk KVX,FW,Leverkusen,2007,3,1,83,0.9,0,0,0,0,0.00,0.00,28,3.8,0.9,1,80,0,2,2,8,1.33,0,1,-1,-1.08,-2.12
Tyron Fernandes,de GER,DF,Köln,2007,4,1,142,1.6,0,0,0,0,0.00,0.00,36,6.6,1.6,1,90,1,3,17,2,1.60,4,3,+1,+0.63,+0.28
Tyron Fernandes,de GER,DF,Köln,2007,4,1,142,1.6,0,0,0,0,0.00,0.00,32,6.0,1.4,2,63,0,2,2,3,1.75,1,2,-1,-0.70,-1.76
Tyron Fernandes,de GER,DF,Leverkusen,2007,4,2,129,1.4,0,0,0,0,0.00,0.00,36,6.6,1.6,1,90,1,3,17,2,1.60,4,3,+1,+0.63,+0.28
Tyron Fernandes,de GER,DF,Leverkusen,2007,4,2,129,1.4,0,0,0,0,0.00,0.00,32,6.0,1.4,2,63,0,2,2,3,1.75,1,2,-1,-0.70,-1.76
Carlos Fernandez,de GER,DF,Kickers Offenbach,2006,22,20,1826,20.3,3,3,0,0,0.15,0.15,83,72.5,20.3,20,89,17,2,28,0,0.77,31,49,-18,-0.89,+1.45
Javier Fernández,es ESP,MF,Bayern Munich,2006,1,1,59,0.7,0,0,0,0,0.00,0.00,59,2.7,0.7,1,59,0,0,,0,3.00,1,0,+1,+1.53,-0.10
Luis Fernández,de GER,DF,Ulm,2007,3,0,27,0.3,0,0,0,0,0.00,0.00,9,1.2,0.3,0,,0,3,9,1,1.00,0,3,-3,-10.00,-9.11
Johannes Ferring,de GER,GK,Saarbrücken,2007,14,12,1162,12.9,0,0,0,0,0.00,0.00,83,46.1,12.9,12,86,11,2,64,13,0.21,9,49,-40,-3.10,-1.44
Thierry Fidjeu-Tazemeta,at AUT,FW,Dortmund,2007,11,8,773,8.6,5,5,0,0,0.58,0.58,70,35.8,8.6,8,80,5,3,45,0,2.64,36,5,+31,+3.61,+2.44
Lance Fiedler,de GER,MF,1860 Munich,2007,11,2,205,2.3,1,1,0,0,0.44,0.44,19,9.5,2.3,2,71,0,9,7,7,1.45,7,2,+5,+2.20,+2.33
Jykese Fields,de GER,FW,Hoffenheim,2007,12,6,536,6.0,11,11,0,0,1.85,1.85,45,24.8,6.0,6,68,2,6,21,0,2.67,31,8,+23,+3.86,+3.97
Silvano Figliuzzi,de GER,DF,Saarbrücken,2007,20,20,1430,15.9,0,0,0,0,0.00,0.00,72,56.7,15.9,20,72,9,0,,1,0.35,10,55,-45,-2.83,-1.18
Ledjon Fikaj,de GER,FW,Carl Zeiss Jena,2007,18,15,1279,14.2,6,6,0,0,0.42,0.42,71,54.7,14.2,15,76,8,3,45,0,1.33,28,34,-6,-0.42,-2.12
Mete Filiz,de GER,FW,Preußen Münster,2007,4,0,70,0.8,0,0,0,0,0.00,0.00,18,2.8,0.8,0,,0,4,18,6,0.75,0,4,-4,-5.14,-4.48
Lennox Fink,de GER,DF,Carl Zeiss Jena,2007,16,15,1251,13.9,3,3,0,0,0.22,0.22,78,53.5,13.9,15,80,9,1,45,0,1.63,36,25,+11,+0.79,+0.54
Michael Fink,de GER,DF,Wehen Wiesbaden,2008,1,0,45,0.5,0,0,0,0,0.00,0.00,45,1.8,0.5,0,,0,1,45,0,0.00,1,2,-1,-2.00,-1.64
Florian Fischer,de GER,DF,Jahn Regensburg,2008,2,0,47,0.5,0,0,0,0,0.00,0.00,24,2.0,0.5,0,,0,2,24,0,0.00,0,2,-2,-3.83,-2.46
Franz Fischer,de GER,MF,Erzgebirge Aue,2007,20,14,1115,12.4,2,2,0,0,0.16,0.16,56,47.6,12.4,14,70,0,6,23,0,1.25,24,22,+2,+0.16,+0.23
Jonas Fischer,de GER,GK,Nürnberg,2007,12,12,1080,12.0,0,0,0,0,0.00,0.00,90,46.2,12.0,12,90,12,0,,14,2.25,41,17,+24,+2.00,+2.36
Marc Fischer,de GER,FW,Dresden,2007,17,5,716,8.0,7,5,2,2,0.88,0.63,42,30.6,8.0,5,72,1,12,30,3,1.59,28,11,+17,+2.14,+1.64
Fitz Fleck,de GER,MF,Gladbach,2007,18,16,1310,14.6,8,8,0,0,0.55,0.55,73,60.6,14.6,16,78,2,2,28,0,2.16,44,10,+34,+2.34,+1.49
Luca Florian,de GER,DF,Rot-Weiß Erfurt,2006,7,7,630,7.0,0,0,0,0,0.00,0.00,90,26.9,7.0,7,90,7,0,,0,0.71,8,23,-15,-2.14,+0.70
Matteo Flucke,de GER,MF,Kickers Offenbach,2008,2,1,99,1.1,0,0,0,0,0.00,0.00,50,3.9,1.1,1,54,0,1,45,0,0.00,1,3,-2,-1.82,-0.55
