Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PK_Save%
Tiago Cardoso,luLUX,GK,Gladbach,18.0,2006,12,12,1080,12.0,6,0.5,,,,9.0,3.0,0.0,7,58.3,0,0,0,0,
Milan Czako,deGER,GK,Düsseldorf,18.0,2006,16,16,1440,16.0,15,0.94,,,,7.0,6.0,3.0,6,37.5,1,1,0,0,0.0
Tugra Demirhan,,GK,Berliner AK,17.0,2007,10,10,900,10.0,15,1.5,,,,5.0,2.0,3.0,3,30.0,1,1,0,0,0.0
Jonathan Demski,deGER,GK,Carl Zeiss Jena,18.0,2006,3,2,199,2.2,4,1.81,,,,2.0,0.0,0.0,0,0.0,1,1,0,0,0.0
Fernando Dickes,deGER,GK,RB Leipzig,16.0,2007,21,21,1890,21.0,23,1.1,,,,11.0,4.0,6.0,7,33.3,1,1,0,0,0.0
Aladji Dieye,deGER,GK,Berliner AK,17.0,2007,2,1,96,1.1,5,4.69,,,,0.0,0.0,1.0,0,0.0,1,1,0,0,0.0
Robin Dittrich,deGER,GK,Stuttgart,17.0,2007,1,1,90,1.0,2,2.0,,,,1.0,0.0,0.0,0,0.0,0,0,0,0,
Frederick Drew,deGER,GK,Kickers Offenbach,16.0,2007,1,1,90,1.0,3,3.0,,,,0.0,0.0,1.0,0,0.0,1,1,0,0,0.0
Konstantin Duhai,deGER,GK,Schweinfurt,16.0,2007,2,2,180,2.0,10,5.0,,,,0.0,0.0,2.0,0,0.0,0,0,0,0,
Mauricio Dunker,deGER,GK,1860 Munich,17.0,2007,5,5,450,5.0,8,1.6,,,,2.0,1.0,2.0,0,0.0,1,1,0,0,0.0
Sissis Efthimiou,deGER,GK,Eintracht Frankfurt,17.0,2006,3,3,270,3.0,11,3.67,,,,0.0,0.0,3.0,0,0.0,0,0,0,0,
Paul Ervens,deGER,GK,Alemannia Aachen,16.0,2007,26,26,2340,26.0,44,1.69,,,,10.0,5.0,11.0,6,23.1,2,2,0,0,0.0
Elias Etringer,deGER,GK,Freiburg,16.0,2007,9,9,799,8.9,12,1.35,,,,5.0,1.0,3.0,2,22.2,0,0,0,0,
Yasin Farsak,deGER,GK,Ingolstadt,17.0,2007,1,0,17,0.2,0,0.0,,,,,,,1,,0,0,0,0,
Johannes Ferring,deGER,GK,Saarbrücken,17.0,2007,13,12,1104,12.9,49,3.99,,,,0.0,2.0,10.0,0,0.0,3,3,0,0,0.0
Jonas Fischer,deGER,GK,Nürnberg,17.0,2007,12,12,1080,12.0,17,1.42,,,,8.0,3.0,1.0,2,16.7,2,2,0,0,0.0
Jonathan Freitag,deGER,GK,Rot-Weiß Oberhausen,18.0,2006,3,2,202,2.2,6,2.67,,,,1.0,0.0,1.0,0,0.0,1,1,0,0,0.0
Julien Froese,deGER,GK,Dortmund,15.0,2008,1,0,7,0.1,0,0.0,,,,,,,1,,0,0,0,0,
Max Fuchs,deGER,GK,Heidenheim,18.0,2006,7,7,630,7.0,14,2.0,,,,4.0,0.0,3.0,0,0.0,0,0,0,0,
Thorben Fuchs,deGER,GK,Sandhausen,18.0,2006,13,13,1139,12.7,28,2.21,,,,4.0,1.0,8.0,1,7.7,1,1,0,0,0.0
Miles Fucik,deGER,GK,Arminia,15.0,2008,1,0,2,0.0,0,0.0,,,,0.0,0.0,0.0,1,,0,0,0,0,
Lion Gantzke,deGER,GK,Magdeburg,16.0,2007,1,1,90,1.0,7,7.0,,,,0.0,0.0,1.0,0,0.0,1,1,0,0,0.0
Ivan Gavenko,uaUKR,GK,Düsseldorf,17.0,2007,8,8,720,8.0,12,1.5,,,,6.0,0.0,2.0,4,50.0,1,1,0,0,0.0
Ferdinand Gebert,deGER,GK,Hoffenheim,18.0,2006,6,5,495,5.5,7,1.27,,,,4.0,0.0,1.0,3,60.0,0,0,0,0,
Noah George,seSWE,GK,Augsburg,18.0,2006,18,18,1620,18.0,34,1.89,,,,7.0,5.0,6.0,2,11.1,1,1,0,0,0.0
Tom Gerlach,deGER,GK,Heidenheim,17.0,2007,1,1,90,1.0,5,5.0,,,,0.0,0.0,1.0,0,0.0,0,0,0,0,
Romero Gerres,deGER,GK,Rot-Weiss Essen,16.0,2007,15,15,1350,15.0,26,1.73,,,,5.0,2.0,8.0,2,13.3,4,4,0,0,0.0
Kalle Grabek,deGER,GK,Meerbusch,18.0,2006,12,11,1035,11.5,34,2.96,,,,1.0,2.0,8.0,0,0.0,4,4,0,0,0.0
Marlon Grafe,deGER,GK,Dresden,17.0,2006,23,23,2070,23.0,32,1.39,,,,10.0,8.0,5.0,6,26.1,3,3,0,0,0.0
Felix Güldner,deGER,GK,Magdeburg,18.0,2006,22,22,1912,22.2,50,2.35,,,,11.0,3.0,8.0,2,9.1,3,3,0,0,0.0
Kamil Güneş,deGER,GK,Karlsruher,16.0,2007,1,1,90,1.0,2,2.0,,,,1.0,0.0,0.0,0,0.0,0,0,0,0,
Lindsay Gutaj,xkKVX,GK,Gladbach,17.0,2007,11,11,990,11.0,14,1.27,,,,6.0,2.0,3.0,2,18.2,6,6,0,0,0.0
Emil Hagemann,deGER,GK,Darmstadt 98,18.0,2006,12,12,1080,12.0,20,1.67,,,,6.0,2.0,4.0,1,8.3,5,5,0,0,0.0
Till Härting,deGER,GK,Carl Zeiss Jena,17.0,2007,24,24,2141,23.8,42,1.77,,,,10.0,4.0,10.0,5,20.8,2,2,0,0,0.0
Luis Hauer,deGER,GK,Köln,17.0,2006,12,12,1056,11.7,14,1.19,,,,7.0,0.0,5.0,5,41.7,1,1,0,0,0.0
Peter Helbich,deGER,GK,Meppen,17.0,2007,4,4,360,4.0,9,2.25,,,,1.0,0.0,3.0,1,25.0,0,0,0,0,
Aaron Held,deGER,GK,Dortmund,16.0,2007,3,2,200,2.2,1,0.45,,,,1.0,1.0,0.0,2,100.0,0,0,0,0,
Louis Held,deGER,GK,Eintracht Frankfurt,18.0,2006,1,1,90,1.0,2,2.0,,,,0.0,1.0,0.0,0,0.0,0,0,0,0,
Florian Hellstern,deGER,GK,Stuttgart,16.0,2007,19,19,1710,19.0,30,1.58,,,,14.0,2.0,3.0,3,15.8,2,2,0,0,0.0
Moritz Hellwig,deGER,GK,Hennef,18.0,2006,14,14,1249,13.9,40,2.88,,,,2.0,4.0,8.0,0,0.0,5,5,0,0,0.0
Leon Herdes,deGER,GK,BTSV,17.0,2007,20,20,1800,21.0,50,2.5,,,,7.0,4.0,9.0,3,15.0,6,6,0,0,0.0
Jeremias Heufken,deGER,GK,Bochum,18.0,2006,1,1,90,1.0,3,3.0,,,,1.0,0.0,0.0,0,0.0,0,0,0,0,
Oskar Hill,deGER,GK,Viktoria Köln,18.0,2006,10,10,900,10.0,17,1.7,,,,3.0,3.0,4.0,1,10.0,0,0,0,0,
Henry Höcker,deGER,GK,Ulm,18.0,2006,10,8,726,8.1,25,3.1,,,,3.0,1.0,4.0,1,12.5,0,0,0,0,
Luca Höfel,deGER,GK,Schalke 04,16.0,2007,3,2,180,2.0,2,1.0,,,,2.0,0.0,0.0,2,100.0,1,1,0,0,0.0
Simon Hoffmann,deGER,GK,Greuther Fürth,18.0,2006,3,3,270,4.0,9,3.0,,,,0.0,0.0,3.0,0,0.0,0,0,0,0,
Leander Hoppenheit,deGER,GK,Preußen Münster,18.0,2006,19,19,1710,20.0,42,2.21,,,,6.0,3.0,10.0,2,10.5,2,2,0,0,0.0
Erion Hoti,deGER,GK,FSV Frankfurt,17.0,2007,8,8,720,9.0,17,2.12,,,,4.0,1.0,3.0,0,0.0,1,1,0,0,0.0
Dominik Huljak,chSUI,GK,Greuther Fürth,16.0,2007,7,6,563,7.4,12,1.92,,,,3.0,1.0,2.0,1,16.7,0,0,0,0,
Gregory Hülsmann,deGER,GK,Kaiserslautern,17.0,2007,4,4,360,4.0,4,1.0,,,,2.0,0.0,2.0,2,50.0,0,0,0,0,
Leonard Hüttl,deGER,GK,Greuther Fürth,17.0,2006,12,12,1057,13.7,32,2.72,,,,4.0,1.0,7.0,1,8.3,1,1,0,0,0.0
Noel-Etienne Intven,deGER,GK,Bochum,17.0,2007,4,3,315,3.5,3,0.86,,,,2.0,0.0,1.0,2,66.7,0,0,0,0,
Jonas Iwan,deGER,GK,FSV Frankfurt,18.0,2006,5,4,385,4.5,7,1.64,,,,2.0,1.0,1.0,1,25.0,0,0,0,0,
Mino Jäger,deGER,GK,Arminia,16.0,2008,12,12,1080,12.0,23,1.92,,,,7.0,1.0,4.0,3,25.0,0,0,0,0,
Luca Janosch,deGER,GK,RB Leipzig,18.0,2006,3,3,270,3.0,5,1.67,,,,1.0,1.0,1.0,0,0.0,1,1,0,0,0.0
Konstantin Kaiser,deGER,GK,Holstein Kiel,16.0,2007,2,2,180,2.0,7,3.5,,,,1.0,0.0,1.0,0,0.0,0,0,0,0,
Enis Kamga,deGER,GK,Kaiserslautern,17.0,2007,23,23,2070,23.0,31,1.35,,,,16.0,2.0,5.0,7,30.4,4,4,0,0,0.0
Tarik Karaman,deGER,GK,Wolfsburg,17.0,2007,4,4,360,4.0,6,1.5,,,,1.0,2.0,1.0,1,25.0,0,0,0,0,
Kilian Katz,deGER,GK,Freiburg,18.0,2006,17,17,1530,17.0,30,1.76,,,,7.0,3.0,7.0,4,23.5,2,2,0,0,0.0
Marko Kessel,uaUKR,GK,Rot-Weiß Erfurt,18.0,2006,10,10,900,10.0,21,2.1,,,,0.0,4.0,6.0,1,10.0,4,4,0,0,0.0
Kyrylo Khadasevych,uaUKR,GK,Wolfsburg,16.0,2008,8,8,720,8.0,11,1.37,,,,4.0,1.0,3.0,2,25.0,1,1,0,0,0.0
Leon Kickler,deGER,GK,Rot-Weiß Walldorf,18.0,2006,11,11,945,10.5,28,2.67,,,,4.0,1.0,6.0,0,0.0,1,1,0,0,0.0
Leon Klanac,deGER,GK,Bayern Munich,17.0,2007,19,19,1697,18.9,26,1.38,,,,14.0,2.0,3.0,5,26.3,2,2,0,0,0.0
David Klein,deGER,GK,Ingolstadt,18.0,2006,21,21,1873,20.8,37,1.78,,,,11.0,1.0,9.0,7,33.3,5,5,0,0,0.0
Jannis Knoblauch,deGER,GK,Rot-Weiß Oberhausen,17.0,2007,10,10,878,9.8,12,1.23,,,,4.0,2.0,4.0,1,10.0,1,1,0,0,0.0
Noah Koch,deGER,GK,Rot-Weiss Essen,18.0,2006,11,11,990,11.0,23,2.09,,,,2.0,2.0,7.0,3,27.3,2,2,0,0,0.0
Jose Kohler,deGER,GK,Unterhaching,16.0,2007,22,22,1980,22.0,34,1.55,,,,11.0,0.0,11.0,7,31.8,0,0,0,0,
Anton Kollmeier,deGER,GK,Arminia,16.0,2008,2,2,180,2.0,5,2.5,,,,0.0,1.0,1.0,0,0.0,0,0,0,0,
Lukasz Konpa,deGER,GK,Meerbusch,16.0,2008,3,3,270,3.0,10,3.33,,,,1.0,0.0,2.0,0,0.0,0,0,0,0,
Kaan Kopal,deGER,GK,Berliner AK,16.0,2008,7,7,630,7.0,21,3.0,,,,2.0,0.0,5.0,0,0.0,3,3,0,0,0.0
Marvin Kopp,deGER,GK,Union Berlin,17.0,2007,1,0,65,0.7,1,1.38,,,,0.0,0.0,0.0,0,,1,1,0,0,0.0
